manchete,subtitulo,texto,data_publicacao,autor,classificacao_etaria,categoria
Perferendis provident quia exercitationem rerum.,Iure possimus libero dolorum laudantium occaecati facilis hic architecto accusamus consequatur repellat fuga.,Enim rem culpa quisquam dolores quae dolor. Quibusdam quasi ipsa architecto ullam dignissimos. Maiores voluptate facilis aspernatur.,2024-08-05,Benício da Conceição,18,Ciência
Accusamus totam placeat ab officiis exercitationem.,Rerum veritatis voluptate dignissimos id voluptatibus iusto at aliquid iste veritatis labore eligendi.,Praesentium explicabo nostrum repudiandae praesentium amet eius iusto. Nesciunt eaque odit ratione laboriosam. Animi exercitationem iusto reiciendis explicabo sit. Ratione assumenda iusto dicta reprehenderit non.,2024-01-03,Giovanna Peixoto,16,Economia
Laudantium asperiores dolorum nihil quia.,Laudantium repudiandae nobis aspernatur ullam sed sed sunt amet sequi corrupti recusandae.,Ipsum in placeat esse quo. At error numquam voluptate quas repellat velit. Corrupti aspernatur id amet quod error repudiandae. Repellat cupiditate accusantium. Nesciunt odit quas sed dignissimos amet atque. Non cupiditate perspiciatis autem fugiat.,2024-06-21,Nicole Cirino,18,Economia
Alias eaque magnam aliquam voluptas quo ex.,Doloremque corporis error vel incidunt necessitatibus delectus aspernatur rerum.,Qui error odit libero dignissimos accusantium neque. Aliquam quos accusamus nulla. Rerum maiores nemo inventore. Ipsum velit voluptatum aperiam. Ab natus odit delectus sunt enim.,2024-08-26,Diego Fonseca,0,Tecnologia
Neque repellendus nisi unde neque molestias neque provident.,Repellat illo maxime commodi omnis voluptas facere dignissimos magni provident quasi tempore.,Magnam enim veniam voluptates. Tenetur inventore incidunt sequi ex exercitationem commodi. Eos accusamus facere fuga.,2024-07-26,Aurora Pinto,0,Entretenimento
Quia hic asperiores explicabo numquam laboriosam repellat praesentium.,Doloribus possimus magni porro cupiditate mollitia.,Id nihil sed vel cumque similique voluptas molestiae. Vero tempora excepturi ad in soluta. Vitae rerum nulla nemo.,2024-02-03,Apollo Câmara,10,Economia
Unde harum id nesciunt.,Doloribus quidem et alias iste porro sed.,Libero rem fugit mollitia veniam suscipit non. Repellat ipsa in accusantium error facilis ipsum ratione. Beatae quidem nobis et pariatur. Voluptatum amet pariatur illo. Inventore perspiciatis porro tenetur.,2024-11-02,Apollo Cunha,12,Tecnologia
Mollitia illum unde quos est velit.,Cupiditate et optio sapiente quos ex earum.,Accusantium porro culpa accusantium accusamus pariatur. Nihil ex iste vitae culpa blanditiis libero facilis. Enim eveniet commodi maxime. Nam sed cum libero dolore accusantium. Sint eligendi fuga exercitationem eligendi itaque voluptatum. Perferendis cumque hic facilis quisquam doloremque et facere.,2024-05-25,Benjamin Costa,14,Economia
Blanditiis illo maxime tenetur culpa.,Dolores doloribus enim aspernatur optio cum pariatur natus quae quae ea animi.,Atque nulla non recusandae. Vitae eveniet velit. Cumque minus autem. Laborum tenetur praesentium vero cumque. Voluptatem nostrum illo alias natus quis voluptatem occaecati.,2024-10-08,João Mendes,12,Entretenimento
Officiis vel nesciunt unde quasi.,Modi illum assumenda hic consequatur est.,Natus culpa sapiente totam laborum ipsa doloremque. Assumenda tenetur libero maiores incidunt. Velit nulla hic at commodi facilis qui fuga.,2024-03-24,Dom da Mota,14,Tecnologia
Quidem voluptates consectetur quidem delectus.,Dicta vitae labore cum eaque cupiditate.,Iste accusantium fugit corporis. Deleniti fugiat eius nobis officiis. Sequi saepe odit ut. Fugit temporibus quibusdam iusto quae. Perferendis ducimus adipisci consectetur. Pariatur eveniet possimus iusto minus omnis iste.,2024-01-24,Luiz Henrique Cavalcanti,0,Ciência
Dolor vel eligendi dicta temporibus.,Quis tempora sequi ipsum sed eveniet consequatur illum explicabo.,Laudantium ad sed rem. Magni architecto voluptatum illo vel. Deleniti repellat sapiente cumque. Non laborum cumque cumque eveniet nisi facere. Ad nobis hic natus.,2024-06-19,Maria Julia Jesus,0,Esportes
Nulla illum animi ipsam.,Perspiciatis perspiciatis aliquam vel ratione explicabo amet pariatur alias.,Voluptas maxime pariatur magni. Nemo pariatur et a nemo atque nam. Delectus voluptatem sit.,2024-04-30,João Vitor Andrade,10,Tecnologia
Et nisi accusantium.,Blanditiis mollitia architecto necessitatibus sit deserunt ipsum natus nesciunt incidunt.,Odit saepe consequuntur eos reiciendis. Soluta nam repellat inventore non. Consequuntur distinctio omnis eaque tenetur a accusamus. Quasi ratione necessitatibus natus rem officia. Aliquam repellendus placeat maiores voluptatibus. Ratione possimus expedita laudantium soluta ratione deleniti.,2024-11-06,Enrico Guerra,18,Esportes
At repudiandae tenetur.,Consectetur sunt occaecati magni cupiditate corporis porro maiores doloremque consequatur veritatis odio.,Odit laboriosam voluptas earum suscipit blanditiis ipsam. Ratione nihil quos quas ipsa facilis. Nisi sint blanditiis inventore.,2024-09-20,Juan Teixeira,14,Ciência
Itaque quas labore voluptates.,Commodi tempora labore quia exercitationem blanditiis reiciendis laudantium fugiat.,Unde explicabo distinctio aliquam quos praesentium dolor perferendis. Aliquid at corporis modi quasi. Rem quasi doloribus fugiat. Praesentium vel accusamus illo fugiat nam expedita.,2024-02-26,Sr. Asafe das Neves,12,Economia
Ut porro dolores quasi commodi minus deserunt dolore.,Odio recusandae adipisci perferendis voluptates nulla enim ipsum quas dolorum libero quis dicta.,Libero est molestias a atque. Neque neque eos numquam nobis ex. Dolore iure quidem asperiores aliquam.,2024-01-05,Liam Pereira,14,Economia
Explicabo voluptatem assumenda laudantium earum voluptatibus sed.,Exercitationem et laborum exercitationem culpa molestiae unde velit magnam ducimus debitis.,Quae molestias modi ullam molestiae sint maxime. Quasi corrupti cum odit vitae est asperiores ab. Nam tempore odio perspiciatis esse harum nobis voluptatem. Illo officia saepe optio sequi nesciunt. Nostrum nam repellat labore.,2024-06-18,Anthony Gabriel Rezende,14,Política
Ut commodi perferendis quisquam.,Numquam distinctio vitae possimus adipisci nobis ullam sint libero consequuntur.,Dolorem iste aliquid totam nesciunt ea a. Mollitia vitae maxime aspernatur nostrum cupiditate necessitatibus. Molestiae eum explicabo illo distinctio. Similique veniam magni sapiente similique. Facilis nihil magnam voluptas. Explicabo neque perferendis dolore.,2024-07-31,José Miguel Oliveira,16,Esportes
Ex necessitatibus necessitatibus quam consequatur delectus non.,Modi quidem porro magni nostrum cumque ipsa.,Dolor quaerat soluta. Temporibus eius quae quo. Quia ipsa reiciendis aperiam tempore quis.,2024-07-23,Juan Cardoso,16,Entretenimento
Magnam soluta nam id voluptatibus.,Aperiam officiis pariatur vel animi quam sequi molestias porro.,Nostrum et optio ea. Magnam voluptates tempora iure provident consequatur aperiam iusto. Ipsam nesciunt architecto unde eaque beatae.,2024-08-07,Ryan Lopes,12,Ciência
Error quod necessitatibus pariatur sint quibusdam explicabo facere.,Iste totam beatae inventore nesciunt officiis laudantium itaque eum voluptates nam.,Quis blanditiis reprehenderit molestias. Dolor incidunt aliquam explicabo. Debitis provident accusamus provident. Cupiditate sunt sed accusantium est molestias recusandae. Quos voluptatum numquam totam.,2024-10-14,Heloisa Freitas,12,Ciência
Voluptatum distinctio debitis dolorem.,Exercitationem autem perspiciatis esse cum porro illo delectus ipsam id dolorum sunt doloribus.,Sequi molestiae deserunt odio delectus ea. Quo aspernatur ab explicabo saepe aliquid. Labore dolorem blanditiis ducimus alias. Illo accusamus quisquam dolor reiciendis sed.,2024-10-17,Ana Júlia Farias,14,Esportes
Molestias sequi inventore.,Nemo eligendi praesentium labore nulla iusto optio.,Nulla odit modi similique perspiciatis rem. Molestias ipsa magnam dolor et. Amet id alias. Commodi delectus distinctio porro doloribus vel veniam. Nulla dolorum fugit nulla dicta et. Autem iure possimus quas omnis dolorem.,2024-08-07,Sr. Enrico da Cruz,0,Entretenimento
Pariatur iste reprehenderit laudantium placeat voluptates.,Accusamus repellendus optio voluptas dicta nam sit.,Quam sint repellendus. Veritatis nam neque debitis quia. Voluptates atque beatae illum. Occaecati provident illo officiis dolores est.,2024-08-25,Juliana Moreira,16,Política
Aut quo esse autem atque.,Sed quibusdam rerum doloremque ipsum architecto quae ut quaerat veniam ex provident accusamus quis.,Ipsa quis odio blanditiis dignissimos quae. Quod quod autem minima ullam. Quis ipsam optio incidunt illo dolore voluptas sit. Similique eum magnam voluptate deleniti. Incidunt accusantium temporibus nesciunt ad qui.,2024-02-06,Srta. Lívia Pastor,14,Tecnologia
Occaecati quos non assumenda est.,Esse aut repellat accusantium blanditiis vero minus tempore nemo quo nulla aliquid.,Iure quasi dolores nam consequatur quo illo ex. Ratione beatae repudiandae provident animi ipsum officia. Cumque dolorem ea iusto ad aliquid. Odio ad rem placeat.,2024-02-24,Bruna Câmara,14,Esportes
Odit facere libero animi doloremque.,Tenetur excepturi at molestiae neque quod odit tempore iure.,Non inventore deleniti illum. Perspiciatis consectetur vero ipsum culpa quisquam earum. Earum eius rem voluptate totam officiis quis ratione. Repudiandae velit adipisci molestias. Necessitatibus perferendis accusantium quisquam.,2024-10-02,Sr. Caleb da Cunha,0,Ciência
Natus repellendus maxime laborum.,Id in ducimus molestias voluptatum debitis rem adipisci totam facere eveniet voluptatem.,Placeat accusantium dignissimos totam veniam et ullam. Qui quia in iste aspernatur. Placeat dolor quam laudantium. Deserunt quod vero. Eveniet mollitia laboriosam dignissimos molestias. Aperiam ratione quasi.,2024-11-11,Gustavo Cassiano,10,Ciência
Voluptatem excepturi velit numquam hic.,Laboriosam quaerat fugiat eos sapiente explicabo voluptatum tenetur velit voluptatem praesentium animi.,Consectetur voluptatibus consequuntur eaque corrupti provident. Animi inventore voluptate. Sint ipsa aut repellendus minima voluptas eos.,2024-10-29,Antony Costa,12,Entretenimento
Qui commodi nihil quae sed.,Praesentium quo incidunt blanditiis delectus dolore.,Excepturi esse neque libero incidunt quisquam. Nemo expedita maxime laudantium voluptatibus laboriosam et. Doloribus saepe consectetur nobis libero recusandae.,2024-03-04,José Miguel Melo,14,Entretenimento
Neque unde quod autem.,Perferendis similique a itaque temporibus ratione corporis recusandae iure.,Rerum facere magni dignissimos aut. Atque quas at nihil corporis dolorum incidunt. Est natus architecto. Deserunt sed assumenda fuga corrupti consequuntur labore. Vel dolorem harum saepe odio repellendus. Asperiores rem aperiam.,2023-12-31,José Pedro Aragão,0,Ciência
Neque cum corrupti deleniti nihil repudiandae cum.,Consectetur rem qui soluta fugit quaerat architecto soluta ut reiciendis esse sed.,Tempore aliquid odio sequi fugit. Quo adipisci exercitationem doloremque earum facilis occaecati at. Rem earum possimus reprehenderit perferendis aperiam repudiandae iure. Quibusdam blanditiis id magni modi hic. Earum nulla totam molestias sapiente facilis. Impedit molestiae sunt sapiente itaque assumenda.,2024-06-13,Mariana Fogaça,10,Esportes
Asperiores amet inventore tempora.,Repellendus rem expedita nostrum corporis provident odit minima aspernatur eos blanditiis mollitia autem.,Saepe delectus quasi atque quae. Rerum placeat odio. Animi quaerat commodi dolor dolores. Dicta facere quidem aperiam. Pariatur aspernatur voluptatum fuga. Consequatur pariatur possimus iure.,2024-09-01,Caroline Costa,16,Tecnologia
Rerum molestiae dolorum cumque nam quas optio.,Quasi cum veniam sequi explicabo non magni tenetur tempora quos.,Facilis repudiandae repellendus occaecati eveniet quos. Doloremque quo enim similique commodi. Sequi odio corporis eum asperiores accusantium. Magnam molestias sint laudantium ipsa rerum. Beatae officiis accusamus animi ullam et quo.,2024-04-11,Ravi Lucca da Cruz,18,Tecnologia
Quo maxime in quisquam.,Architecto dolorem architecto quasi mollitia expedita.,Sint odio fugiat et occaecati iste. Suscipit dolorum ducimus. Libero molestiae praesentium dolore. Deleniti quas unde qui. Iste libero occaecati explicabo doloremque velit.,2024-11-02,Nicolas Cirino,0,Entretenimento
Minus sapiente atque debitis harum.,Ut eaque accusantium mollitia beatae corporis iure neque eum commodi ex.,Vel dignissimos minus maiores rem. Libero voluptatem saepe modi. Qui mollitia officiis rem.,2024-06-19,Lorenzo Sales,16,Ciência
Tenetur voluptate exercitationem.,Accusamus libero architecto amet sequi fugiat nam et consequatur cupiditate.,Iure porro dicta fugiat aliquam excepturi. Quaerat quaerat sint nisi quod ipsa sunt veritatis. Quasi laudantium atque rem ratione dignissimos voluptatum. Alias corrupti temporibus. Tenetur vero minima aspernatur iure.,2024-07-03,Diego da Mata,18,Entretenimento
Molestias nulla officia et.,Velit et repudiandae inventore iure molestiae quod consequuntur porro molestias amet perferendis veniam.,Soluta corrupti beatae eum quas modi ratione non. Nisi minima cum veritatis odit. Sint placeat autem ipsam maiores optio itaque. Nihil sapiente suscipit minus inventore. Ratione sapiente dignissimos optio. Reprehenderit corrupti reiciendis ipsa officiis quas.,2024-11-14,Sra. Maria Julia Cassiano,10,Tecnologia
Quos aperiam facilis reprehenderit est tenetur aliquam.,Blanditiis animi nulla nesciunt eum delectus.,Quia quod eos modi possimus culpa. Quibusdam animi dolorem ratione eum quam. Earum possimus incidunt repellendus reiciendis. Cum ratione expedita beatae iusto dolorum voluptatum.,2024-05-10,Marcelo da Conceição,14,Tecnologia
Blanditiis cum aspernatur recusandae rem quisquam.,Impedit iste earum voluptate aut nisi sunt ducimus nisi.,Debitis neque unde soluta tempora debitis. Maiores adipisci corrupti voluptatem. Nemo quasi amet ducimus quod. Animi possimus veritatis repudiandae ipsa. Atque modi sed quidem dolorem nulla.,2023-12-16,José Miguel Gonçalves,12,Esportes
Beatae quibusdam repellendus enim.,Fugiat fugit ea amet eum quisquam nam nulla alias aspernatur blanditiis accusamus alias.,Quae debitis vitae. Culpa modi culpa aliquam itaque nostrum molestias quis. Ut iusto nihil possimus. Doloribus porro porro animi dignissimos. Iure sunt aspernatur tempore.,2024-03-04,Sra. Mariana Sales,16,Ciência
Iusto asperiores impedit.,Aut itaque porro voluptas nemo rem.,Deleniti veritatis pariatur sit nobis incidunt quod. Temporibus veniam esse expedita. Sapiente tempora sit. Similique dolores ducimus repellat tenetur omnis nemo nihil.,2024-04-28,Catarina Vieira,10,Tecnologia
Ex dignissimos commodi debitis minima sed aliquid.,At accusamus accusamus laboriosam ratione quisquam temporibus similique iste harum at repudiandae.,Consequuntur facere accusantium. Aliquid necessitatibus ullam. Facere molestias perferendis ipsa at. Ut nihil aliquid ab. Accusantium quae unde commodi consectetur voluptas.,2023-12-24,Hadassa Marques,14,Ciência
Architecto occaecati vel neque consectetur reiciendis debitis.,Impedit dolores veniam culpa officiis veritatis.,Ipsum molestiae aliquid ducimus. A fugiat repellendus aliquid cum. Saepe fugit aut maxime tempora occaecati quam.,2024-06-06,Dante da Cruz,14,Esportes
Distinctio in aspernatur atque consequatur.,Voluptatum necessitatibus minus labore placeat excepturi.,Facilis officia dolorem nesciunt magnam deserunt. Quod ipsa perferendis quibusdam quo alias autem. Inventore quae natus repellendus porro quo facere. Ex a eveniet tempore ipsa cum nesciunt.,2024-07-04,Luiz Miguel Sales,14,Esportes
